,Titre,DOI,Auteurs,Date de publication,Abstract,Lien fichier,Type fichier
10,Plasmonics beyond noble metals: Exploiting phaseand compositional changes for manipulatingplasmonic performance,10.1063/5.0020752,"Yael Gutiérrez, April S. Brown, Fernando Moreno, Maria Losurdo",2020-08-07,"Reconfigurable plasmonics constitutes an exciting and challenging new horizon in nanophotonics. This blooming field aims at providingplasmonic nanostructures that present a dynamic and active plasmonic response that can be switched or manipulated by external stimuli toinduce a controllable change in the optical properties. Most common plasmonic materials, such as the noble metals gold and silver, cannotdeliver this type of behavior. Therefore, significant effort is being invested in developing alternative materials whose optical properties canbe controllably modified to provide a reconfigurable plasmonic response. In this perspective, several materials including non-noble metals,transition metal oxides and nitrides, and chalcogenide compounds will be analyzed. The selected materials share interesting characteristicslike low cost, good chemical and thermal stabilities, and CMOS compatibility while presenting a reconfigurable plasmonic response gov-erned by different phase-change mechanisms.",https://zenodo.org/api/files/9036fef5-1693-4963-be4e-88a5f9beec1e/5.0020752%282%29.pdf,pdf
11,Recent Advances in Chiral Plasmonics – Towards Biomedical Applications,10.1246/bcsj.20180236,"Kumar, J, Liz-Marzán, LM.",2018-10-10,"The field of chirality has seen a strong rejuvenation due to the observation of nanoscale chirality in plasmonic nanoparticles. This account presents recent advances in the field of plasmonic chirality. The various top-down and bottom-up methods adopted for the synthesis of optically active plasmonic nanomaterials are briefly discussed. After achieving significant progress in the synthesis and mechanistic understanding of chirality at the nanoscale, the major focus of researchers is currently set on finding suitable applications for the synthesized nanomaterials. While different applications such as circular polarizers, chiral sensing and catalysis have been proposed, we propose that plasmon-enhanced chiral signals have great potential for use in the detection and therapy of diseases. We therefore introduce recent developments in the use of chiral plasmonic responses in the biomedical field.",https://zenodo.org/api/files/274b9023-0ccc-42d8-b3b2-0cd034f24bef/10.1246%40bcsj.20180236%281%29%281%29.pdf,pdf
12,Magnetic control of particle trapping in a hybrid plasmonic nanopore,10.1063/5.0046245,"Maccaferri N, Vavassori P., Garoli D.",2021-05-11,"Plasmonic nanopores are extensively investigated as single molecules detectors. The main limitations in plasmonic nanopore technology are the too fast translocation velocity of the molecule through the pore and the consequent very short analysis times, as well as the possible instabilities due to local heating. An interesting approach to enable longer acquisition times is represented by the ability to stably trap the nanoparticles used to tag molecules close to the nanopore. Here, we theoretically investigate the performance of a magneto-plasmonic nanopore prepared with a thin layer of cobalt sandwiched between two gold layers. A nanopore is then coupled with a bifunctional (magnetic and plasmonic) core–shell nanoparticle made of magnetite (core) covered with a thin layer of gold (shell). By setting the magnetic configuration of the cobalt layer around the pore by an external magnetic field, it is possible to generate a nanoscale magnetic tweezer to trap the nanoparticle at a specific point. Considering a 10nm diameter magnetite nanoparticle, we calculate a trapping force up to 28 pN, an order of magnitude above the force that can be obtained with standard optical or plasmonic trapping approaches. Moreover, the magnetic force pulls the nanoparticle in close contact with the plasmonic nanopore’s wall, thus enabling the formation of a nanocavity enclosing a sub-10nm3 confined
electromagnetic field with an average field intensity enhancement up to 230 at near-infrared wavelengths. The presented hybrid
magneto-plasmonic system points toward a strategy to improve nanopore-based biosensors for single-molecule detection and potentially for the analysis of various biomolecules.",https://zenodo.org/api/files/965564ca-182c-4575-a63f-e7cefa254fbc/2021_apl.pdf,pdf
13,Plasmonic Supercrystals,10.1021/acs.accounts.9b00213,"García-Lojo, D, Núñez-Sánchez, S, Gómez-Graña, S, Grzelczak, M, Pastoriza-Santos, I, Pérez-Juste, J, Liz-Marzán, LM.",2019-06-25,"CONSPECTUS: For decades, plasmonic nanoparticles have been extensively studied due to their extraordinary properties, related to localized surface plasmon resonances. A milestone in the field has been the development of the so-called seed-mediated growth method, a synthetic route that provided access to an extraordinary diversity of metal nanoparticles with tailored size, geometry and composition. Such a morphological control came along with an exquisite definition of the optical response of plasmonic nanoparticles, thereby increasing their prospects for implementation in various fields. The susceptibility of surface plasmons to respond to small changes in the surrounding medium or to perturb (enhance/quench) optical processes in nearby molecules, has been exploited for a wide range of applications, from biomedicine to energy harvesting. However, the possibilities offered by plasmonic nanoparticles can be expanded even further by their careful assembly into either disordered or ordered structures, in 2D and 3D. The assembly of plasmonic nanoparticles gives rise to coupling/hybridization effects, which are strongly dependent on interparticle spacing and orientation, generating extremely high electric fields (hot spots), confined at interparticle gaps. Thus, the use of plasmonic nanoparticle assemblies as optical sensors have led to improving the limits of detection for a wide variety of (bio)molecules and ions. Importantly, in the case of highly ordered plasmonic arrays, other novel and unique optical effects can be generated. Indeed, new functional materials have been developed via the assembly of nanoparticles into highly ordered architectures, ranging from thin films (2D) to colloidal crystals or supercrystals (3D). The progress in the design and fabrication of 3D supercrystals could pave the way toward next generation plasmonic sensors, photocatalysts, optomagnetic components, metamaterials, etc.",https://zenodo.org/api/files/e981d322-d86d-45d7-89bd-983a17da59a3/ACR_preprint.pdf,pdf
14,CMOS-Compatible Plasmonic Nanocircuits for On-Chip Integration,10.5281/zenodo.1335648,"Shiyang Zhu, G. Q. Lo, D. L. Kwong",2013-09-29,"Silicon photonics is merging as a unified platform for driving photonic based telecommunications and for local photonic based interconnect but it suffers from large footprint as compared with the nanoelectronics. Plasmonics is an attractive alternative for nanophotonics. In this work, two CMOS compatible plasmonic waveguide platforms are compared. One is the horizontal metal-insulator-Si-insulator-metal nanoplasmonic waveguide and the other is metal-insulator-Si hybrid plasmonic waveguide. Various passive and active photonic devices have been experimentally demonstrated based on these two plasmonic waveguide platforms.",https://zenodo.org/api/files/2e070681-ffd5-4e69-a421-b94e8e711675/16681.pdf,pdf
16,Mechanistic Insights into the Light-Driven Catalysis of an Immobilized Lipase on Plasmonic Nanomaterials,10.1021/acscatal.0c04919,"de Barros, HR, García, I, Kuttner, C, Zeballos, N, Camargo, PHC, de Torresi, SIC, López-Gallego, F, Liz-Marzán, LM.",2020-12-21,"The use of light as an external stimulus to control the enzyme activity is an emerging strategy that enables accurate, remote, and noninvasive biotransformations. In this context, immobilization of enzymes on plasmonic nanoparticles offers an opportunity to create light-responsive biocatalytic materials. Nevertheless, a fundamental and mechanistic understanding of the effects of localized surface plasmon resonance (LSPR) excitation on enzyme regulation remains elusive. We herein investigate the plasmonic effects on biocatalysis using Au nanospheres (AuNSp) and nanostars (AuNSt) as model plasmonic nanoparticles, lipase from Candida antarctica fraction B (CALB) as a proof-of-concept enzyme, and 808 nm as near-infrared light excitation. Our data show that LSPR excitation enables an enhancement of 58% in the enzyme activity for CALB adsorbed on AuNSt, compared with the dark conditions. This work shows how photothermal heating over the LSPR excitation enhances the CALB activity through favoring product release in the last step of the enzyme mechanism. We propose that the results reported herein shed important mechanistic and kinetic insights into the field of plasmonic biocatalysis and may inspire the rational development of plasmonic nanomaterial-enzyme hybrids with tailored activities under external light irradiation.",https://zenodo.org/api/files/72ad717a-1f81-4427-8fa0-08b64225a92f/ACSCatalysis_2021.pdf,pdf
17,ARRAYS OF PLASMONIC NANOSTRUCTURES MADE OF PHASE-CHANGE MATERIALS,10.5281/zenodo.6669955,Peter Kepič,2019-09-01,"The crystal structure of phase-change materials can be reconfigured by external stimuli, which often result in a change of materials electrical or magnetic properties. Although this effect has been already used to modulate plasmonic resonances in nanophotonics, it has not been fully examined for the two materials chosen in this work — vanadium dioxide (VO2) and iron-rhodium alloy (FeRh). Plasmonic resonances can be described as resonances of electromagnetic field in metallic nanostructures. With these nanostructures we are even able to modulate light. In this thesis, we firstly optimized electron beam lithography process for production of metal nanodiscs with 40–200 nm diameters. Secondly, we measured an optical response of gold nanodiscs to better understand the nature of their plasmonic resonances and interactions between them. Lastly, we described the optimization of polycrystalline VO2 growth and measured optical responses of VO2 and FeRh nanodiscs during their respective phase transitions. Our observation of Mie’s resonances in the dielectric phase of the VO2 nanodiscs suggests, that they have a potential to act as tunable plasmonic resonators which switch from Mie’s resonances in the dielectric phase into plasmonic resonances in the metallic one. When measuring the FeRh nanodiscs, we observed plasmonic resonances in the visible part of the spectrum. These resonances can be used to facilitate FeRh transition from an anti-ferromagnetic to a ferromagnetic phase, as they could lower the required latent heat.",https://zenodo.org/api/files/16d05b24-9639-4d2e-b818-6dcbc462fb74/kepic_bachelor_thesis.pdf,pdf
18,Controlling Plasmon‐Enhanced Fluorescence via Intersystem Crossing in Photoswitchable Molecules,10.1002/smll.201701763,"Mingsong Wang, Gregory Hartmann, Zilong Wu, Leonardo Scarabelli, Bharath Bangalore Rajeeva, Jeremy W. Jarrett, Evan P. Perillo, Andrew K. Dunn, Luis M. Liz‐Marzán, Gyeong S., Hwang Yuebing Zheng",2017-08-21,"By harnessing photoswitchable intersystem crossing (ISC) in spiropyran (SP) molecules, active control of plasmon‐enhanced fluorescence in the hybrid systems of SP molecules and plasmonic nanostructures is achieved. Specifically, SP‐derived merocyanine (MC) molecules formed by photochemical ring‐opening reaction display efficient ISC due to their zwitterionic character. In contrast, ISC in quinoidal MC molecules formed by thermal ring‐opening reaction is negligible. The high ISC rate can improve fluorescence quantum yield of the plasmon‐modified spontaneous emission, only when the plasmonic electromagnetic field enhancement is sufficiently high. Along this line, extensive photomodulation of fluorescence is demonstrated by switching the ISC in MC molecules at Au nanoparticle aggregates, where strongly enhanced plasmonic hot spots exist. The ISC‐mediated plasmon‐enhanced fluorescence represents a new approach toward controlling the spontaneous emission of fluorophores near plasmonic nanostructures, which expands the applications of active molecular plasmonics in information processing, biosensing, and bioimaging.",https://zenodo.org/api/files/cc7443df-9378-42f1-9974-6d3e20fb32c6/858_Small2017.pdf,pdf
19,Enhanced Optical Spectroscopy for Multiplexed DNA and Protein-Sequencing with Plasmonic Nanopores: Challenges and Prospects,10.1021/acs.analchem.1c04459,"Li W., Zhou J., Maccaferri N., Krahne R., Wang K., Garoli D.",2022-01-01,"Plasmonics is the discipline that investigates the use of collective oscillations of conductive electrons in metallic nanostructures, called surface plasmons (SPs), to realize a large set of devices to be applied in sensing, nanomedicine, metamaterials, energy harvesting, and many others. During the past decade, several examples of plasmonic platforms have been proposed for single-molecule studies. Among others, plasmonic nanopores, i.e., sub-100 nm apertures connecting two compartments, are finding more and more interest as a specific family of solid-state nanopores with multiple functionalities. While the reader can find exhaustive details on working principles, fabrication, and applications of plasmonic nanopores for biosensing in recent reviews, here we focus on the applications of plasmonic nanopores as a platform for enhanced spectroscopy of single DNA and protein molecules, discussing in detail which limitations must be overcome to enable large scale multiplexing sequencing.",https://zenodo.org/api/files/785f8414-0f30-441b-8e9c-418f5d04c898/2022_anal_chem.pdf,pdf
20,CMOS Compatible Plasmonic Refractive Index Sensor based on Heavily Doped Silicon Waveguide,10.5281/zenodo.3659628,"Faruque, M. O., Al Mahmud, R., Sagor, R. H.",2020-02-04,"In this study, a plasmonic refractive index (RI) sensor using heavily n-doped silicon waveguide is designed and numerically simulated using finite element method (FEM). The reported sensor is based on gratings inside a heavily doped silicon waveguide structure instead of a conventional metal-insulator-metal structure. This feature enables the device to overcome the limitations of conventional plasmonic devices like optical losses, polarization management, etc. Besides, it makes the device compatible with Complementary Metal Oxide Semiconductor (CMOS) technology and thus provides an easier way of practical fabrication and incorporation in integrated circuits. The presented sensor has a highest sensitivity of 1208.9nm/RIU and a resolution as small as 0.005 which is comparable with conventional plasmonic sensors reported to date. The main advantage of this plasmonic sensor is that it has a very simple structure and uses silicon instead of metal which provides an easier way of fabrication.",https://zenodo.org/api/files/c3d89083-189d-4374-b176-c9330eeeeec1/ETASR_V10_N1_pp5295-5300.pdf,pdf
21,Multifunctional Cell Processing with Plasmonic Nanobubbles,10.5281/zenodo.1088680,"Ekaterina Y. Lukianova-Hleb, Dmitri O. Lapotko",2013-10-03,"Cell processing techniques for gene and cell therapies use several separate procedures for gene transfer and cell separation or elimination, because no current technology can offer simultaneous multi-functional processing of specific cell sub-sets in heterogeneous cell systems. Using our novel on-demand nonstationary intracellular events instead of permanent materials, plasmonic nanobubbles, generated with a short laser pulse only in target cells, we achieved simultaneous multifunctional cell-specific processing with the rate up to 50 million cells per minute.",https://zenodo.org/api/files/4e3d8b17-0b50-409e-9ba8-30953b829e88/17251.pdf,pdf
22,CMOS-Compatible Silicon Nanoplasmonics for On-Chip Integration,10.5281/zenodo.1063399,"Shiyang Zhu, Guo-Qiang Lo, Dim-Lee Kwong",2012-09-22,"Although silicon photonic devices provide a significantly larger bandwidth and dissipate a substantially less power than the electronic devices, they suffer from a large size due to the fundamental diffraction limit and the weak optical response of Si. A potential solution is to exploit Si plasmonics, which may not only miniaturize the photonic device far beyond the diffraction limit, but also enhance the optical response in Si due to the electromagnetic field confinement. In this paper, we discuss and summarize the recently developed metal-insulator-Si-insulator-metal nanoplasmonic waveguide as well as various passive and active plasmonic components based on this waveguide, including coupler, bend, power splitter, ring resonator, MZI, modulator, detector, etc. All these plasmonic components are CMOS compatible and could be integrated with electronic and conventional dielectric photonic devices on the same SOI chip. More potential plasmonic devices as well as plasmonic nanocircuits with complex functionalities are also addressed.",https://zenodo.org/api/files/65734a52-b333-4179-bc26-208f990d7d35/6693.pdf,pdf
23,Awareness about Nanotoxicology in Medicinal Applications among Dental Students,10.19070/2377-8075-21000884,Dhanraj Ganapathy,2021-09-21,"Introduction: Nanotoxicology focuses on determining the adverse effects of nanomaterials on human health and the environment. Nanotoxicology searches for establishing and identifying the harms of engineered nanomaterials and requires a multidisciplinary team approach including toxicology, biology, chemistry, physics, material science, geology, exposure assessment, pharmacokinetics, and medicine. Aim: This survey was conducted for assessing the nanotoxicology in medicinal applications among dental students. Materials and Method: A cross-section research was conducted with a self-administered questionnaire containing ten questions distributed amongst 100 dental students. The questionnaire assessed the awareness about nanotoxicology in medicinal applications, pro-inflammatory effects, reactive oxygen species generation, mechanism of action and toxicity effects of nanoparticles and nanotoxicity assessment assays. The responses were recorded and analysed. Results: 8% of the respondents were aware of the nanotoxicology in medicinal applications, 5 % were aware of pro-inflammatory effects, 5% were aware of reactive oxygen species generation, 3% were aware of mechanism of action and toxicity effects of nanoparticles and, 3% were aware of nanotoxicity assessment assays. Conclusion: There is limited awareness amongst dental students about nanotoxicology in medicinal applications. Enhanced awareness initiatives and dental educational programmes together with increased importance for curriculum improvements that further promote knowledge and awareness of nanotoxicology in medicinal applications.",https://zenodo.org/api/files/e91f7138-1e18-41bd-a6a6-b45f5fbd2eae/IJDOS-2377-8075-08-9035.pdf,pdf
24,Hybrid photonic-plasmonic devices for enhanced sensitivity biosensors,10.5281/zenodo.3629681,"Lucia Fornasari, Paola Pellacani, Miguel Manso, Chloe Rodriguez, Vicente Torres-Costa, Franco Marabelli",2018-10-03,"Hybrid plasmonic-photonic systems attract the attention of the scientific community due to their ability in modifying the light behaviour and the
electric field distribution. The study of this type of system could have significant fall-out in fields such as biosensing and optoelectronics. In this work, multilayer
porous silicon (PSi) interference structures have been used as a support for arrays of Au nanocavities to combine the photonic properties of the former with the plasmonic properties of the latter and to develop an hybrid photonic-plasmonic device. Finite Difference Time Domain (FDTD) simulation have been implemented
in order to interpret the experimental results.",Inconnu,Inconnu
25,Plasmonic surfaces for cell growth and retrieval triggered by near-infrared light,10.1002/anie.201509025,"Giner-Casares J.J., Henriksen-Lacey M., Garc¡a I., Liz-Marz n L.M.",2016-01-18,"Methods for efficient detachment of cells avoiding damage are required in tissue engineering and regenerative medicine. We introduce a bottom-up approach to build plasmonic substrates using micellar block copolymer nanolithography to generate a 2D array of Au seeds, followed by chemical growth leading to anisotropic nanoparticles. The resulting plasmonic substrates show a broad plasmon band covering a wide part of the visible and near-infrared (NIR) spectral ranges. Both human and murine cells were successfully grown on the substrates. A simple functionalization step of the plasmonic substrates with the cyclic arginylglycylaspartic acid (c-RGD) peptide allowed us to tune the morphology of integrin-rich human umbilical vein endothelial cells (HUVEC). Subsequent irradiation with a NIR laser led to highly efficient detachment of the cells with cell viability confirmed using the MTT assay. We thus propose the use of such plasmonic substrates for cell growth and controlled detachment using remote near-IR irradiation, as a general method for cell culture in biomedical applications. Cell harvesting: Tailored plasmonic substrates can be used to capture various types of cells, which can be further released by irradiation with near-infrared (NIR) light without being damaged. Facile functionalization with RGD peptide allows tuning of the morphology of integrin-rich cells. ¸ 2015 The Authors. Published by Wiley-VCH Verlag GmbH & Co. KGaA.",https://zenodo.org/api/files/907cc13c-f78a-4d8b-8b33-7982fea838da/anie201509025.pdf,pdf
26,Plasmonic polymer nanocomposites,10.1038/s41578-018-0050-7,"Isabel Pastoriza-Santos, Calum Kinnear, Jorge Pérez-Juste, Paul Mulvaney, Luis M. Liz-Marzán",2018-09-11,"The optical properties of metal nanoparticles, particularly their localized surface plasmon effects, are well established. These plasmonic nanoparticles can respond to their surroundings or even influence the optical processes (for example, absorption, fluorescence and Raman scattering) of molecules located at their surface. As a result, plasmonic nanoparticles have been developed for multiple purposes, ranging from the detection of chemicals and biological molecules to light-harvesting enhancement in solar cells. By dispersing the nanoparticles in polymers and creating a hybrid material, the robustness, responsiveness and flexibility of the system are enhanced while preserving the intrinsic properties of the nanoparticles. In this Review, we discuss the fabrication and applications of plasmonic polymer nanocomposites, focusing on applications in optical data storage, sensing and imaging and photothermal gels for in vivo therapy. Within the nanocomposites, the nanoporosity of the matrix, the overall mechanical stability and the dispersion of the nanoparticles are important parameters for achieving the best performance. In the future, translation of these materials into commercial products rests on the ability to scale up the production of plasmonic polymer nanocomposites with tailored optical features.",https://zenodo.org/api/files/6188139a-2a7a-4abe-b363-5e9db96e6c46/Nat%20Mater%20Review%20Revised.pdf,pdf
27,Sensitivity of Hybrid Plasmons in Nanowire Based Triangular/Square Clusters to Surrounding Dielectric Environment,10.1109/ursigass.2014.6929424,"Stognii, Nadiia P., Sakhnenko, Nataliya K.",2014-01-01,This paper presents investigation of plasmonic properties of coupled metal nanowires arranged to form the cluster of triangular or square configuration. Plasmon resonances of such structures embedded into dielectrics with different dielectric permittivity are studied. The main goal of the paper is to validate true potential of plasmon nanowire-based structures in sensing applications and reveal optimized configurations with narrowband plasmonic resonances and enhanced sensitivity.,https://zenodo.org/api/files/b76673f8-41b9-430e-94f5-3d4fb60c104f/article.pdf,pdf
