,Titre,DOI,Auteurs,Date de publication,Abstract,Lien fichier,Type fichier,Abstract_lemm
10,Sol-gel based hybrid coatings for corrosion protection of AA2024-T3 alloys,10.5281/zenodo.3606448,"Afsharimani N., Castro Y., Durán A., Galusek D.",2019-11-29,abstract of conference paper,https://zenodo.org/api/files/706740fa-a95e-41b1-884d-cca0c5284e94/Sol-gel%20bas%20ed%20hybrid%20coatings%20for%20corrosion%20protection%20of%20AA2024-T3%20alloys.pdf,pdf,abstract of conference paper
12,Development of a Porous Silica Film by Sol-gel Process,10.5281/zenodo.1063366,"Binay K. Dutta, Tayseir M. Abd Ellateif, Saikat Maitra",2011-01-27,"In the present work homogeneous silica film on
silicon was fabricated by colloidal silica sol. The silica sol precursor
with uniformly granular particle was derived by the alkaline
hydrolysis of tetraethoxyorthosilicate (TEOS) in presence of glycerol
template. The film was prepared by dip coating process. The
templated hetero-structured silica film was annealed at elevated
temperatures to generate nano- and meso porosity in the film. The
film was subsequently annealed at different temperatures to make it
defect free and abrasion resistant. The sol and the film were
characterized by the measurement of particle size distribution,
scanning electron microscopy, XRD, FTIR spectroscopy,
transmission electron microscopy, atomic force microscopy,
measurement of the refractive index, thermal conductivity and
abrasion resistance. The porosity of the films decreased whereas
refractive index and dielectric constant of it `increased with the
increase in the annealing temperature. The thermal conductivity of
the films increased with the increase in the film thickness. The
developed porous silica film holds strong potential for use in
different areas.",https://zenodo.org/api/files/dbd6a41e-b830-4b67-803d-d08098c3f5b9/6677.pdf,pdf,"in the present work homogeneous silica film on 
 silicon be fabricate by colloidal silica sol . the silica sol precursor 
 with uniformly granular particle be derive by the alkaline 
 hydrolysis of tetraethoxyorthosilicate ( TEOS ) in presence of glycerol 
 template . the film be prepare by dip coating process . the 
 template hetero - structure silica film be anneal at elevated 
 temperature to generate nano- and meso porosity in the film . the 
 film be subsequently anneal at different temperature to make it 
 defect free and abrasion resistant . the sol and the film be 
 characterize by the measurement of particle size distribution , 
 scan electron microscopy , XRD , FTIR spectroscopy , 
 transmission electron microscopy , atomic force microscopy , 
 measurement of the refractive index , thermal conductivity and 
 abrasion resistance . the porosity of the film decrease whereas 
 refractive index and dielectric constant of it ` increase with the 
 increase in the anneal temperature . the thermal conductivity of 
 the film increase with the increase in the film thickness . the 
 develop porous silica film hold strong potential for use in 
 different area ."
13,Spectroscopic and SEM Investigation of TCPP in Titanium Matrix,10.5281/zenodo.1063346,"R.Rahimi, F.Moharrami",2008-07-26,Titanium gels doped with water-soluble cationic porphyrin were synthesized by the sol–gel polymerization of Ti (OC4H9)4. In this work we investigate the spectroscopic properties along with SEM images of tetra carboxyl phenyl porphyrin when incorporated into porous matrix produced by the sol–gel technique.,https://zenodo.org/api/files/818efcad-8c48-4085-b0c6-8c9691ea0852/6667.pdf,pdf,titanium gel dope with water - soluble cationic porphyrin be synthesize by the sol – gel polymerization of Ti ( oc4h9)4 . in this work we investigate the spectroscopic property along with SEM image of tetra carboxyl phenyl porphyrin when incorporate into porous matrix produce by the sol – gel technique .
14,Hybrid Sol–Gel Silica Coatings Containing GrapheneNanosheets for Improving the Corrosion Protectionof AA2024-T3,10.5281/zenodo.4299123,"Afsharimani N., Durán A., Galusek D., Castro Y.",2020-05-29,journal article,https://zenodo.org/api/files/d905cb6a-f85d-4de5-b9db-2f9274897029/Hybrid%20Sol%E2%80%93Gel%20Silica%20Coatings%20Containing%20GrapheneNanosheets%20for%20Improving%20the%20Corrosion%20Protectionof%20AA2024-T3.pdf,pdf,journal article
15,The Diffusion Control in Sol-Gel Transformation,10.5281/zenodo.6361943,"A. A WAD, F. EL-CHEIKH, A. SHAKER",1980-07-31,"Chemistry Department, Faculty of Science, Sohag, Egypt
Manuscript received 8 January 1979, revised 12 October 1979, accepted 17 March 1980
Sodium alginate sol can be converted into ionotropic gel through the diffusion of a di- or trivalent metal ion. The kinetics or this process can be studied by two different methods. The first is the analytical method in which the decrease of the divalent metal ion concentration with time during the exchange process with sodium alginate sol is followed complexometrically. It is found that the rate of gel formation is greater at first during the primary gel membrane formation, and it depends on both the electrolyte and the sol concentration. The rate then decreases during the further gel growth and becomes constant whatever the concentration or the electrolyte is. This may be attributed to the diffusion control through the primary gel membrane. The second method is the drop density method in which the rate of density variation or a sol drop during its contact with the electrolyte solution is taken as a measure or ionotropic gel growth. The drop density method is carried out at different temperatures, and the rate of growth is found to increase by raising temperature. The activation energy is calculated and found to have the values between (13-20 k.j./Mole).",https://zenodo.org/api/files/423cd866-0912-4025-b60d-89969e9130b8/728-731.pdf,pdf,"Chemistry Department , Faculty of Science , Sohag , Egypt 
 Manuscript receive 8 January 1979 , revise 12 October 1979 , accept 17 March 1980 
 Sodium alginate sol can be convert into ionotropic gel through the diffusion of a di- or trivalent metal ion . the kinetic or this process can be study by two different method . the first be the analytical method in which the decrease of the divalent metal ion concentration with time during the exchange process with sodium alginate sol be follow complexometrically . it be find that the rate of gel formation be great at first during the primary gel membrane formation , and it depend on both the electrolyte and the sol concentration . the rate then decrease during the further gel growth and become constant whatever the concentration or the electrolyte be . this may be attribute to the diffusion control through the primary gel membrane . the second method be the drop density method in which the rate of density variation or a sol drop during its contact with the electrolyte solution be take as a measure or ionotropic gel growth . the drop density method be carry out at different temperature , and the rate of growth be find to increase by raise temperature . the activation energy be calculate and find to have the value between ( 13 - 20 k.j./Mole ) ."
16,FUNCTIONALIZATION OF GLASS BY SOL-GEL LAYERS,10.5281/zenodo.3346786,"Plško A., Pagáčová J., Papučová I., Čierniková M., Kuklová A.",2018-11-30,FUNCTIONALIZATION OF GLASS BY SOL-GEL LAYERS,https://zenodo.org/api/files/4d2296fa-adc2-4dc3-83dd-71d72044109e/FUNCTIONALIZATION%20OF%20GLASS%20BY%20SOL-GEL%20LAYERS.pdf,pdf,functionalization of GLASS by SOL - gel layer
17,Die reversible Sol-Gel-Transformation,10.1007/bf01427554,"Bradford, S. C.",1921-05-01,,https://zenodo.org/api/files/10ad688e-dfc0-4667-95e0-e8539885285b/article.pdf,pdf,nan
18,The reversible sol-gel transformation,10.1039/tf921160a044,"Bradford, S. C.",1921-01-01,,https://zenodo.org/api/files/ca5ada3a-3876-47dc-ae24-84f551c1ecf7/article.pdf,pdf,nan
19,Lipase Catalyzed Synthesis of Aromatic Esters of Sugar Alcohols,10.5281/zenodo.1082706,"R. Croitoru, L. A. M. van den Broek, A. E. Frissen, C. M. Davidescu, F. Peter, C. G. Boeriu",2011-04-22,"Commercially available lipases (Candida antarctica lipase B, Novozyme 435, Thermomyces lanuginosus lipase, and Lipozyme TL IM), as well as sol-gel immobilized lipases, have been screened for their ability to acylate regioselectively xylitol, sorbitol, and mannitol with a phenolic ester in a binary mixture of t-butanol and dimethylsulfoxide. HPLC and MALDI-TOF MS analysis revealed the exclusive formation of monoesters for all studied sugar alcohols. The lipases immobilized by the sol-gel entrapment method proved to be efficient catalysts, leading to high conversions (up to 60%) in the investigated acylation reactions. From a sequence of silane precursors with different nonhydrolyzable groups in their structure, the presence of octyl and i-butyl group was most beneficial for the catalytic activity of sol-gel entrapped lipases in the studied process.",https://zenodo.org/api/files/971c141a-08ba-4e6c-9616-fd610942ab6c/14289.pdf,pdf,"commercially available lipase ( Candida antarctica lipase B , Novozyme 435 , Thermomyces lanuginosus lipase , and Lipozyme TL IM ) , as well as sol - gel immobilized lipase , have be screen for their ability to acylate regioselectively xylitol , sorbitol , and mannitol with a phenolic ester in a binary mixture of t - butanol and dimethylsulfoxide . HPLC and MALDI - TOF MS analysis reveal the exclusive formation of monoester for all study sugar alcohol . the lipase immobilize by the sol - gel entrapment method prove to be efficient catalyst , lead to high conversion ( up to 60 % ) in the investigate acylation reaction . from a sequence of silane precursor with different nonhydrolyzable group in their structure , the presence of octyl and I - butyl group be most beneficial for the catalytic activity of sol - gel entrapped lipase in the studied process ."
20,Tuning of pore texture of carbon xerogels synthesized using resorcinol and paraformaldehyde as precursors,10.5281/zenodo.5654935,"Ajit Das, Kamala Mandy Hansda, Nagendranath Mahata",2020-05-01,"Center for Adsorption and Reaction Engineering on Surface (CARES), Department of Chemistry,
Sidho-Kanho-Birsha University, Purulia-723 104, West Bengal, India
E-mail: nagendranath_mahata.chem@skbu.ac.in
Manuscript received online 20 December 2019, revised 22 January 2020, accepted 25 January 2020
Mesoporous carbon xerogels were synthesised using paraformaldehyde and resorcinol as precursors. Organic gel was obtained by sol-gel processing of the precursors. The wet gel was dried and then carbonized under nitrogen flow to obtain carbon xerogel. A series of carbon xerogels was synthesised by varying pH of sol-gel processing in the range of 5.5 to 6.3. One carbon xerogel was activated by nitric acid and subsequently heated at elevated temperatures (200 to 300ºC) under vacuum to obtain another series of carbon xerogels. All the carbon xerogels were characterised by nitrogen adsorption-desorption isotherm measurement. The carbon xerogels were found to be significantly mesoporous. Pore texture was found to be tuned by the precursor sol-gel processing pH as well as by the post synthesis treatment by means of nitric acid activation-evacuation at elevated temperature.",https://zenodo.org/api/files/6ed763ac-8b9f-475a-a408-244ae77b1af6/May-6.pdf,pdf,"center for Adsorption and Reaction Engineering on Surface ( CARES ) , Department of Chemistry , 
 Sidho - Kanho - Birsha University , Purulia-723 104 , West Bengal , India 
 e - mail : nagendranath_mahata.chem@skbu.ac.in 
 Manuscript receive online 20 December 2019 , revise 22 January 2020 , accept 25 January 2020 
 mesoporous carbon xerogel be synthesise use paraformaldehyde and resorcinol as precursor . organic gel be obtain by sol - gel processing of the precursor . the wet gel be dry and then carbonize under nitrogen flow to obtain carbon xerogel . a series of carbon xerogel be synthesise by vary ph of sol - gel processing in the range of 5.5 to 6.3 . one carbon xerogel be activate by nitric acid and subsequently heat at elevated temperature ( 200 to 300ºc ) under vacuum to obtain another series of carbon xerogel . all the carbon xerogel be characterise by nitrogen adsorption - desorption isotherm measurement . the carbon xerogel be find to be significantly mesoporous . pore texture be find to be tune by the precursor sol - gel processing ph as well as by the post synthesis treatment by mean of nitric acid activation - evacuation at elevated temperature ."
